상호명,주소,주종,홈페이지,양조장상시방문가능여부,양조장예약방문가능여부,양조장선정유효기간년도
산머루농원,경기 파주시 적성면 객현리 67-1,과실주,http://www.sanmeoru.com,,Y,2026
배상면주가,경기도 포천시 화현면 화현리 512,"탁주(고도), 약주, 청주, 증류주",https://www.soolsool.co.kr/,Y,,2026
우리술,"경기 가평군 하면 대보간선로 26, 29","탁주(고도), 약주, 청주",http://www.woorisool.kr,Y,,2026
그린영농조합,경기도 안산시 단원구 뻐꾹산길 107,과실주,http://www.grandcoteau.co.kr,Y,,2027
배혜정도가,경기도 화성시 정남면 서봉로 835,"탁주(고도), 증류주",http://www.baedoga.co.kr/,,Y,2026
밝은세상영농조합,경기도 평택시 포승읍 충열길 37,"탁주(고도), 증류주",https://www.instagram.com/tigercalyx/?hl=ko,,Y,2027
좋은술,경기 평택시 오성면 숙성뜰길 108,"탁주(고도), 약주, 청주, 증류주",https://jsul.modoo.at/,Y,,2027
술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,"탁주(고도), 약주, 청주, 증류주",http://www.sulseam.com,Y,,2027
신평양조장,충남 당진시 신평면 신평로 813,"탁주(고도), 약주, 청주",http://www.koreansul.co.kr,Y,,2026
예산사과와인,충남 예산군 고덕면 대몽로 107-25,"과실주, 증류주",http://www.chusawine.com,Y,,2026
양촌양조,충남 논산시 양촌면 매죽헌로1665번길 14-9,"탁주(고도), 약주, 청주",http://www.yangchon.co.kr/,Y,,2026
한산소곡주,충남 서천군 한산면 충절로 1118,"약주, 청주, 증류주",http://www.sogokju.co.kr,Y,,2026
중원당,충북 충주시 가금면 창동리 243,"약주, 청주",http://www.청명주.com/,,Y,2026
대강양조장,충북 단양군 대강면 대강로 60,"탁주(고도), 약주, 청주",http://www.krwine.com,Y,,2026
조은술 세종,충북 청주시 청원구 사천로 18길 5-2,"탁주(고도), 증류주, 리큐르/기타주류",http://www.joeunsulsj.co.kr,,Y,2026
이원양조장,충청북도 옥천군 이원면 묘목로 113,탁주(고도),http://iwonwine.com/new/index.php,Y,,2027
여포와인농장,충북 영동군 양강면 유점지촌길 75,과실주,https://yeopo.modoo.at/,Y,,2027
시나브로 와이너리(불휘농장),충청북도 영동군 심천면 약목2길 23,과실주,https://www.bhwinery.com/index,Y,Y,2027
도란원,충청북도 영동군 매곡면 옥전리 825-1,"과실주, 증류주",http://xn--hg3b13gpoq4muubvz4a.kr/,Y,,2027
태인합동주조장,전북 정읍시 태인면 태흥리 392-1,"탁주(고도), 증류주",http://www.태인양조장.com/,,Y,2026
지리산운봉주조영농조합,전북 남원시 운봉읍 서천리 622번지,탁주(고도),http://www.herbsul.com/,Y,Y,2027
농업회사법인(주)청산녹수,전라남도 장성군 장성읍 전고개로 240,"탁주(저도), 탁주(고도), 증류주",smartstore.naver.com/bluegreenk,N,Y,2027
추성고을,전남 담양군 용면 추령로 29,"약주, 청주, 증류주, 리큐르/기타주류",http://www.chusungju.co.kr,,Y,2026
대대로영농조합법인,전남 진도군 군내면 둔전리 98,증류주,http://www.e-hongju.co.kr,Y,,2026
해창주조장,전남 해남군 화산면 해창길 1,탁주(고도),https://haechangjujo.modoo.at/,Y,,2026
예술주조,강원도 춘천시 신동면 풍류1길 6-3,"탁주(고도), 약주, 청주",http://www.ye-sul.co.kr,Y,Y,2026
국순당 횡성양조장,강원특별자치도 횡성군 둔내면 강변로 975,"탁주(저도), 탁주(고도), 약주, 청주, 증류주",http://drink.ksdb.co.kr/,N,Y,2027
울진술도가,경상북도 울진군 근남면 노음2길 4,탁주(고도),,Y,Y,2027
오미나라,경북 문경시 문경읍 새재로 609,"과실주, 증류주",http://www.omynara.com/,Y,Y,2026
문경주조,경상북도 문경시 동로면 노은리 192번지,"탁주(고도), 약주, 청주",https://mgomijasul.modoo.at/,Y,,2026
명인안동소주,경북 안동시 풍산읍 산업단지6길 6,증류주,http://www.adsoju.com,Y,,2026
농업회사법인 ㈜한국애플리즈,경북 의성군 단촌면 일직점곡로 755,"과실주, 증류주, 리큐르/기타주류",http://www.applewine.co.kr/,N,Y,2026
은척양조장,경북 상주시 은척면 봉중2길 16-4,탁주(저도),https://takbaeki.modoo.at/,Y,,2026
한국와인,경상북도 영천시 금호읍 원기리 414-2,과실주,http://www.vincoreewinery.com/,Y,,2027
고도리 와이너리,경북 영천시 고경면 고도리 494-3,과실주,http://고도리와인.com,Y,,2027
수도산와이너리,경상북도 김천시 증산면 금곡리 226-1번지,과실주,https://smartstore.naver.com/sdsmeru/profile,Y,Y,2027
복순도가,울산광역시 울주군 상북면 향산리 439,탁주(고도),http://www.boksoon.com/,Y,,2027
금정산성토산주,부산 금정구 산성로 453,탁주(고도),http://www.sanmak.kr/,Y,,2026
제주샘주,제주 제주시 애월읍 애원로 283,"약주, 청주, 증류주",http://www.jejusaemju.co.kr,Y,,2026
제주고소리술익는집,제주도 서귀포시 표선면 중산간동로 4726,증류주,http://jejugosorisul.com/,Y,,2027
모월,강원 원주시 판부면 판부신촌길 84,"약주, 청주, 증류주",http://www.mowall.co.kr/,N,N,2027
술아원,경기 여주 점봉길 93-12,"탁주(고도), 약주, 청주, 증류주, 리큐르/기타주류",http://soolawon.co.kr/,N,N,2027
장희도가,충북 청주 청원구 내수읍 미원초정로 1275,"탁주(고도), 약주, 청주",http://www.xn--o39a70mg2rv1o.com/default/,N,Y,2027
하미앙 와인밸리,경남 함양군 함양읍 삼봉로 442-14,과실주,https://www.sanmuru.com,N,Y,2027
풍정사계(화양),충청북도 청주시 청원구 내수읍 풍정1길 8-2,"탁주(고도), 약주, 청주, 과실주, 증류주",https://www.hwayang.co/,Y,Y,2027
솔송주,경상남도 함양군 지곡면 지곡창촌길 3,"약주, 청주, 과실주, 증류주, 리큐르/기타주류",https://www.solsongju.com/,Y,,2026
금풍양조,인천 강화군 길상면 삼랑성길 8,탁주(고도),https://www.instagram.com/on_sul/,N,N,2028
오산양조,경기도 오산시  시장길 63,"탁주(고도), 약주, 청주, 증류주, 리큐르/기타주류",https://www.osansool.com/,N,Y,2028
산막와이너리,충북 영동군 영동읍 산막골길 31-45,과실주,http://www.sanmacwine.com/web/main/,Y,Y,2028
맑은내일,경남 창원시 삼귀로 411-8,"탁주(고도), 약주, 청주",https://www.good-tomorrow.co.kr/,N,Y,2028
인천탁주,인천광역시 부평구 안남로 433번길 26,탁주(고도),http://sosungju.modoo.at/,,,2028
술빚는 전가네,경기도 포천시 영북면 산정호수로 335,"탁주(고도), 약주, 청주, 증류주",https://www.sooldoga.com/home,N,,2028
농업회사법인(주)두레양조,충청남도 천안시 서북구 입장면 율목길 17-6,"과실주, 증류주, 리큐르/기타주류",www.duraean.co.kr,N,Y,2028
양촌와이너리,충청남도 논산시 양촌면 황산벌로 1075-21,"과실주, 증류주",https://smartstore.naver.com/choosi/?NaPm=ct%3Dlkm6j0d2%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3D1c05f130954f743bc8fb02b7bf901eade5a17fdc,N,,2028
덕유양조,전북특별자치도 무주군 안성면 장무로 1375-7,과실주,http://www.meoruwine.co.kr/,N,Y,2028
갈기산,충북 영동군 학산면 모리1길 4,과실주,http://www.galgisan.com,N,Y,2028
다도참주가,전남 나주시 다도면 신촌2길 9,탁주(저도),http://chamjuga.com,N,Y,2028
밀과노닐다,경북 안동시 도산면 가송길 162-123,증류주,www.jinmaek.co,N,Y,2028
국가유산·명인 조옥화 안동소주,경북 안동시 강남로 71-1,증류주,www.andongsoju.com,N,Y,2028
농업회사법인 (주)신선,충청북도 청주시 상당구 것대로5,"탁주(저도), 탁주(고도), 약주, 청주, 증류주",https://sinseonju.modoo.at/,N,Y,2028
농업회사법인 주식회사 지시울,강원특별자치도 춘천시 서면 박사로 741-5,"탁주(고도), 약주, 청주, 증류주",https://smartstore.naver.com/whajeonilchwi,N,Y,2028
(농)(주) 우창(두루미양조장),강원특별자치도 철원군 동송읍 금학로 31-72 동송농공단지,"탁주(고도), 약주, 청주",http://두루미양조장.kr,N,Y,2028
컨츄리와이너리,충청북도 영동군 영동읍 조현길 26,과실주,www.countrywine.co.kr,N,Y,2028
연미정 와이너리,인천광역시 강화군 강화읍 연미정길36번길 48-17,과실주,http://www.yeunmi.co.kr,N,Y,2028
